id,name,state,location,type,acceptance_rate_transfer,avg_gpa_transfer,undergrad_population,tuition_in_state,tuition_out_of_state,app_fee,is_need_blind,max_credits_accepted,residency_credits_required,popular_majors,transfer_info_link,apply_link,school_url,accepts_transfer_summer,accepts_transfer_winter,min_gpa,min_credits_required,accepts_fall,accepts_spring,in_state_min_GPA,lowest_letter_grade_for_credit,fall-closing-date,spring-closing-date,fall-notification-date,spring-notification-date
162928,Johns Hopkins University,MD,Baltimore,Private Non-Profit,0.0527,,5693,65230,65230,70,false,,,"[""Biology"", ""Engineering"", ""Computer Science"", ""Social Sciences"", ""Health & Medicine""]",https://apply.jhu.edu/transfer-applicants/,https://apply.jhu.edu/transfer-applicants/,https://www.jhu.edu/,true,false,3.0,12,true,false,,,3/1,,5/13,
166683,Massachusetts Institute of Technology,MA,Cambridge,Private Non-Profit,0.0238,,4535,62396,62396,75,false,,,"[""Engineering"", ""Computer Science"", ""Biology"", ""Business"", ""Social Sciences""]",https://mitadmissions.org/apply/transfer/,https://mitadmissions.org/apply/transfer/,https://web.mit.edu/,false,false,,,true,true,,B,May,10/15,5/4,11/15
193900,New York University,NY,New York,Private Non-Profit,0.2209,,28663,62796,62796,85,false,,,"[""Social Sciences"", ""Business"", ""Computer Science"", ""Health & Medicine"", ""Psychology""]",https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/transfer-applicants.html,https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/transfer-applicants.html,https://www.nyu.edu/,true,true,,,true,true,,,3/15,10/15,May,
147767,Northwestern University,IL,Evanston,Private Non-Profit,0.1197,,9201,68322,68322,75,false,48,23,"[""Engineering"", ""Social Sciences"", ""Biology"", ""Computer Science"", ""Psychology""]",https://admissions.northwestern.edu/apply/transfer/,https://admissions.northwestern.edu/apply/transfer/,https://www.northwestern.edu/,false,false,,24,true,,,,3/15,,,
186131,Princeton University,NJ,Princeton,Private Non-Profit,0.0191,,5709,62688,62688,70,false,68,56,"[""Social Sciences"", ""Engineering"", ""Computer Science"", ""Biology"", ""Psychology""]",https://admission.princeton.edu/apply/transfer-applicants,https://admission.princeton.edu/apply/transfer-applicants,https://www.princeton.edu/,true,false,,,true,false,,,3/1,,May,
227757,Rice University,TX,Houston,Private Non-Profit,0.0692,,4776,64144,64144,75,false,,,"[""Engineering"", ""Biology"", ""Computer Science"", ""Social Sciences"", ""Business""]",https://admission.rice.edu/apply/transfer,https://admission.rice.edu/apply/transfer,https://www.rice.edu/,true,true,3.2,12,true,true,,,March 15,October 15,June,December 1
243744,Stanford University,CA,Stanford,Private Non-Profit,0.016,,7554,65910,65910,90,false,90,90,"[""Computer Science"", ""Engineering"", ""Social Sciences"", ""Biology"", ""Psychology""]",https://admission.stanford.edu/apply/transfer,https://admission.stanford.edu/apply/transfer,https://www.stanford.edu/,false,false,,0,true,false,,C-,3/15,,5/15,
168148,Tufts University,MA,Medford,Private Non-Profit,0.2124,,7061,70704,70704,75,false,,,"[""Social Sciences"", ""Engineering"", ""Biology"", ""Computer Science"", ""Psychology""]",https://admissions.tufts.edu/apply/transfer-students/,https://admissions.tufts.edu/apply/transfer-students/,https://www.tufts.edu/,true,false,,12,true,false,,,March 17,,May,
160755,Tulane University of Louisiana,LA,New Orleans,Private Non-Profit,0.6007,,7767,68678,68678,0,false,,60,"[""Business"", ""Social Sciences"", ""Biology"", ""Psychology"", ""Health & Medicine""]",https://admission.tulane.edu/transfer-students,https://admission.tulane.edu/transfer-students,https://tulane.edu/,true,true,,12,true,true,,,2/1,10/15,4/15,12/1
110635,University of California-Berkeley,CA,Berkeley,Public,0.2555,,33068,16347,50547,80,false,70,60,"[""Computer Science"", ""Social Sciences"", ""Engineering"", ""Biology"", ""Business""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.berkeley.edu/,false,false,2.4,60,true,true,,C,11/30,D908 Summer,4/30,D912 Summer
110644,University of California-Davis,CA,Davis,Public,0.5817,,32253,16774,50974,80,false,70,35,"[""Biology"", ""Social Sciences"", ""Psychology"", ""Engineering"", ""Business""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://ucdavis.edu/,true,false,2.4,60,true,false,,,11/30,,April 30,
110653,University of California-Irvine,CA,Irvine,Public,0.3993,,30197,15722,49922,80,false,105,36,"[""Social Sciences"", ""Psychology"", ""Business"", ""Biology"", ""Engineering""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.uci.edu/,true,false,2.4,45,true,false,,,6/1,,,
110662,University of California-Los Angeles,CA,Los Angeles,Public,0.228,,33475,15203,49403,80,false,70,68,"[""Social Sciences"", ""Biology"", ""Psychology"", ""Engineering"", ""Computer Science""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.ucla.edu/,false,false,2.8,60,true,false,2.4,D-,11/30,,4/30,
110671,University of California-Riverside,CA,Riverside,Public,0.5841,,22593,15606,49806,80,false,70,36,"[""Social Sciences"", ""Biology"", ""Business"", ""Psychology"", ""Engineering""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.ucr.edu/,true,true,2.4,60,true,false,,,12/02,,3/31,
110680,University of California-San Diego,CA,La Jolla,Public,0.5455,,34948,16758,50958,80,false,106,68,"[""Biology"", ""Engineering"", ""Social Sciences"", ""Psychology"", ""Computer Science""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.ucsd.edu/,true,false,3.0,60,true,false,,,11/30,,4/28,
110705,University of California-Santa Barbara,CA,Santa Barbara,Public,0.6165,,23113,16414,50614,80,false,70,35,"[""Social Sciences"", ""Biology"", ""Psychology"", ""Engineering"", ""Computer Science""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.ucsb.edu/,true,false,,60,true,false,,,11/30,,3/15,
110714,University of California-Santa Cruz,CA,Santa Cruz,Public,0.644,,17940,16005,50205,80,false,70,35,"[""Computer Science"", ""Biology"", ""Social Sciences"", ""Psychology"", ""Business""]",https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://admission.universityofcalifornia.edu/admission-requirements/transfer-requirements/,https://www.ucsc.edu/,false,true,,60,true,,,,December 1,,March-May,
144050,University of Chicago,IL,Chicago,Private Non-Profit,0.0929,,7569,70662,70662,75,false,,,"[""Social Sciences"", ""Biology"", ""Computer Science"", ""Psychology"", ""Engineering""]",https://collegeadmissions.uchicago.edu/apply/transfer-applicants,https://collegeadmissions.uchicago.edu/apply/transfer-applicants,https://www.uchicago.edu/,true,false,,,true,false,,,March 1,,,
134130,University of Florida,FL,Gainesville,Public,0.4486,,35629,6381,28659,30,false,,,"[""Engineering"", ""Business"", ""Biology"", ""Social Sciences"", ""Health & Medicine""]",https://admissions.ufl.edu/apply/transfer/,https://admissions.ufl.edu/apply/transfer/,https://www.ufl.edu/,true,true,2.0,,true,true,,,5/1,9/15,5/1,9/15
145637,University of Illinois Urbana-Champaign,IL,Champaign,Public,0.4237,,36258,16004,35124,50,false,,,"[""Engineering"", ""Business"", ""Computer Science"", ""Social Sciences"", ""Psychology""]",https://www.admissions.illinois.edu/apply/transfer,https://www.admissions.illinois.edu/apply/transfer,https://www.illinois.edu/,true,false,,,true,true,,,April 1,October 15,By June 1,By November 15
170976,University of Michigan-Ann Arbor,MI,Ann Arbor,Public,0.3491,,34177,17736,60946,75,false,62,60,"[""Computer Science"", ""Engineering"", ""Social Sciences"", ""Biology"", ""Business""]",https://admissions.umich.edu/apply/transfer-applicants,https://admissions.umich.edu/apply/transfer-applicants,https://umich.edu/,true,true,,,true,true,,C,February 1,February 1,By 5/1,By 11/30
199120,University of North Carolina at Chapel Hill,NC,Chapel Hill,Public,0.365,,20752,8994,41203,85,false,75,45,"[""Biology"", ""Social Sciences"", ""Business"", ""Computer Science"", ""Health & Medicine""]",https://admissions.unc.edu/apply/types-of-applications/transfer/,https://admissions.unc.edu/apply/types-of-applications/transfer/,https://www.unc.edu/,false,false,,15,true,true,,,February 15,,Late April,
152080,University of Notre Dame,IN,Notre Dame,Private Non-Profit,0.2509,,8818,65025,65025,75,false,,,"[""Business"", ""Engineering"", ""Social Sciences"", ""Biology"", ""Computer Science""]",https://admissions.nd.edu/apply/transfer-students/,https://admissions.nd.edu/apply/transfer-students/,https://www.nd.edu/,true,true,3.0,,true,true,,,3/15,10/1,,
215062,University of Pennsylvania,PA,Philadelphia,Private Non-Profit,0.0321,,10650,68686,68686,75,false,64,64,"[""Biology"", ""Social Sciences"", ""Health & Medicine"", ""Computer Science"", ""Business""]",https://admissions.upenn.edu/admissions-and-financial-aid/apply-for-admission/transfer-admission,https://admissions.upenn.edu/admissions-and-financial-aid/apply-for-admission/transfer-admission,https://www.upenn.edu/,false,false,,,true,false,,,3/15,,Early May,
123961,University of Southern California,CA,Los Angeles,Private Non-Profit,0.2161,,20443,72097,72097,85,false,64,64,"[""Business"", ""Social Sciences"", ""Engineering"", ""Computer Science"", ""Biology""]",https://admission.usc.edu/prospective-students/how-to-apply/transfer-students/,https://admission.usc.edu/prospective-students/how-to-apply/transfer-students/,https://www.usc.edu/,true,true,,,true,false,,,2/15,,5/31,
228778,The University of Texas at Austin,TX,Austin,Public,0.2255,,42855,11688,44908,75,false,,60,"[""Biology"", ""Engineering"", ""Business"", ""Computer Science"", ""Social Sciences""]",https://admissions.utexas.edu/apply/transfer-students/,https://admissions.utexas.edu/apply/transfer-students/,https://www.utexas.edu/,true,true,,24,false,true,,C-,3/1,9/1,Mid-Late June,December
234076,University of Virginia-Main Campus,VA,Charlottesville,Public,0.3197,,17597,21803,59512,75,false,,,"[""Social Sciences"", ""Engineering"", ""Business"", ""Computer Science"", ""Biology""]",https://admission.virginia.edu/transfer,https://admission.virginia.edu/transfer,https://www.virginia.edu/,true,true,2.0,,true,true,,,3/1,10/1,5/1,12/1
240444,University of Wisconsin-Madison,WI,Madison,Public,0.5551,,36902,11603,42103,70,false,72,30,"[""Business"", ""Biology"", ""Social Sciences"", ""Engineering"", ""Computer Science""]",https://admissions.wisc.edu/apply-as-a-transfer-student/,https://admissions.wisc.edu/apply-as-a-transfer-student/,https://www.wisc.edu/,false,false,,24,true,true,,D,3/1,10/1,3/31,12/31
221999,Vanderbilt University,TN,Nashville,Private Non-Profit,0.218,,7208,67498,67498,50,false,,,"[""Social Sciences"", ""Engineering"", ""Computer Science"", ""Biology"", ""Psychology""]",https://admissions.vanderbilt.edu/apply/transfer-process/,https://admissions.vanderbilt.edu/apply/transfer-process/,https://www.vanderbilt.edu/,false,false,,,true,false,,,March 15,,,
130794,Yale University,CT,New Haven,Private Non-Profit,0.0146,,6758,67250,67250,80,false,72,36,"[""Social Sciences"", ""Biology"", ""Computer Science"", ""Engineering"", ""Psychology""]",https://admissions.yale.edu/transfer,https://admissions.yale.edu/transfer,https://www.yale.edu/,false,false,,6,true,false,,,3/1,,Mid May,
164465,Amherst College,MA,Amherst,Private Non-Profit,0.0862,,1914,69820,69820,0,false,64,64,"[""Social Sciences"", ""Biology"", ""Mathematics"", ""English"", ""Computer Science""]",https://www.amherst.edu/admission/apply/transfer,https://www.amherst.edu/admission/apply/transfer,https://www.amherst.edu/,false,false,,32,true,true,,C,3/1,11/1,4/15,12/17
161004,Bowdoin College,ME,Brunswick,Private Non-Profit,0.0863,,1915,67116,67116,65,false,16,16,"[""Social Sciences"", ""Biology"", ""Mathematics"", ""English"", ""Computer Science""]",https://www.bowdoin.edu/admissions/apply/transfer-students.html,https://www.bowdoin.edu/admissions/apply/transfer-students.html,https://www.bowdoin.edu/,false,false,3.0,8,true,false,,C,3/1,,5/5,
126614,University of Colorado Boulder,CO,Boulder,Public,0.7198,,33384,12312,41932,50,false,,,"[""Business"", ""Engineering"", ""Social Sciences"", ""Biology"", ""Computer Science""]",https://www.colorado.edu/admissions/process/transfer,https://www.colorado.edu/admissions/process/transfer,https://www.colorado.edu/,true,false,,,true,true,,C-,June 1,October 1,Rolling,Rolling
168342,Williams College,MA,Williamstown,Private Non-Profit,0.0276,,2071,72170,72170,65,false,18,18,"[""Social Sciences"", ""Mathematics"", ""Biology"", ""Economics"", ""English""]",https://www.williams.edu/admission-aid/apply/transfer/,https://www.williams.edu/admission-aid/apply/transfer/,https://www.williams.edu/,false,false,,30,true,false,,C-,March 2,,April 14,
